source,gn,es,dialect_anotator_1,dialect_anotator_2,dialect_anotator_3,dialect_unified,correctness_annotator_1,correctness_annotator_2,correctness_annotator_3,correctness_unified
hackaton,mitakuña ojeguereko ñongatupy ha hekove oñemohenda,la joven fue hecha prisionera y condenada.,guarani,guarani,guarani,guarani,A,A,B,A
anlp,Okê oîhaguéicha ojepe'â.,Todas las puertas estaban abiertas.,guarani,guarani,guarani,guarani,A,D,A,A
spl,"PÑS Sãmbyhyhára, Ladislaa Alcaraz de Silvero, omoñepyrũ ko aty guasu ha he'i ipy'aite guive mba'éichapa ko'ã manjui ohechauka ñandéve avavete ko'ã ñande ypykuéra apytégui nomboykeséi iñe'ẽtee.","La ministra de la SPL, Ladislaa Alcaraz de Silvero, expresó en la apertura unas emotivas palabras diciendo que los manjui nos testimonian que ningún pueblo indígena desea abandonar su lengua.",guarani,guarani,guarani,guarani,A,A,A,A
spl,"Subsecretaría de Estado de Tributación (SET), Tetã Viru Mohendapy Motenondeha guive, oiporu guarani ñe'ẽ oñangarekóvo opa Paraguaigua rehe.","La Subsecretaría de Estado de Tributación (SET) del Ministerio de Hacienda, implementa el uso del guaraní en su sistema de atención y de servicio al ciudadano.",guarani,jehe'a,guarani,guarani,B,A,B,B
libro_gn,Ñeꞌẽjoajukatu,Sintaxis,guarani,guarani,guarani,guarani,A,A,A,A
libro_td,embohéra hekoitépe,Etiquetado correcto,guarani,guarani,guarani,guarani,A,A,A,A
spl,"Omba'apo kuri oúvo ta'angambyrýpe mamanga ñembosarái oñemoasãi jave ha upépe omoinge kyre'ỹ guarani jeporu, oporombopy'aguasu ojeporu haĝua ko ñe'ẽ oñeguerotĩ'ỹre ha omoherakuã Paraguái reko.","En los últimos años, en su labor como comentarista de fútbol en televisión, introdujo el uso de la lengua guaraní, animó a la gente a usarla y transmitió el orgullo por la identidad paraguaya.",guarani,guarani,guarani,guarani,B,B,A,B
libro_gn,"Guaraníme katu, ndaupéichai, ndaipóri pe infinitivo ñeꞌẽtévape g̃uarã, upéva rehe oñemosusũmantevaꞌerã ñeꞌẽtéva  .","En guaraní, en cambio, no se cuenta con el infinitivo verbal, sino ineludiblemente el verbo debe ser conjugado  .",guarani,guarani,guarani,guarani,A,A,A,A
abc,"Umi tavaygua ombohovái peteî resolución ohaíva jueza electoral Catalina Barán, oiko mboyve sesión extraordinaria Junta Municipal de Jesús-pe arakõi ára ohasáva, oiporavo peteî encargado de despacho oikéva Schlender rendaguépe, ombotove reunión ha upéicha ohapejoko taha’e sesión Junta Municipal  Jesús de Tavaranguépe oñehesa’ÿijohápe “jeporavo encargado de despacho ko Municipalidad Jesús-pe, he’ívo itajasúha intendente municipal, Hernán Adolar Schlender Benítez”.","La decisión de los pobladores responde a una resolución de la jueza electoral Catalina Barán, quién horas antes de que se realice una sesión extraordinaria de la Junta Municipal de Jesús el lunes pasado, para elegir un encargado de despacho en reemplazo de Schlender, prohibió la reunión y en lo sucesivo cualquier tipo de sesión de la Junta Municipal de Jesús de Tavarangue donde se trate el “asunto relacionado a la designación de encargado de despacho de la Municipalidad de Jesús, alegando la inhabilidad de su actual intendente municipal, don Hernán Adolar Schlender Benítez”.",jehe'a,jopara,jehe'a,jehe'a,B,B,A,B
spl,"Castellano ñe'ẽme ohaiporãvéva mombe'urã: Primer Premio: Título del Cuento: Khilu, de Leticia Marianela Giménez Britos.","Los ganadores en la categoría de castellano son: Primer Premio: Título del Cuento: Khilu, de Leticia Marianela Giménez Britos.",jopara,jopara,jehe'a,jopara,B,A,A,A
blogs,Opuka puku hese ha oho oheka ohekáva.,Se rió a carcajadas de él y fue a buscar algo.,guarani,guarani,guarani,guarani,A,D,A,A
libro_gn,"Paraguái niko Iñeꞌẽnguéra Léi ary 2010 guive, kóvape oñemyapesã ojejapoitavaꞌerãva ko tetãme, ha umíva umi mbaꞌe apytépe ojehecháta avei mbaꞌéichapa ikatu ojehecharamo ha oñembojeroviave ko ñeꞌẽ  .","Paraguay cuenta con una Ley de Lenguas desde el año 2010, normativa que establece las políticas lingüísticas generales para el país, entre ellas, los refuerzos de acciones positivas hacia este idioma  .",guarani,guarani,guarani,guarani,B,A,A,A
abc,"Upéicha, oasegura hikuái  tembiapo pya'e ombyaty haguã umi kuatia ojejeruréva, jepénte oimpone, según he'i, oîgui maniobra ojapóva Óscar González Daher, omýivo, hilos del poder jurado de Enjuiciamiento de Magistrados (JEM), ojapóva negociado terreno del club, ha hetaiterei apañuãi  ombotyryrýva ko'ágã peve.","Sin embargo, ellos aseguran que han realizado un trabajo maratónico para cumplir con todos los burocráticos trámites que les fueron solicitados, a pesar de que la traba les fue impuesta, según denuncian, debido a las maniobras realizadas por Óscar González Daher, quien, cuando movía los hilos del poder desde el Jurado de Enjuiciamiento de Magistrados (JEM), realizaba negociados sobre los terrenos del club, generando así un sinnúmero de conflictos que se arrastran hasta hoy.",jopara,jopara,jehe'a,jopara,B,A,A,A
libro_gn,Embopyahu,Aplicar actualización,guarani,guarani,guarani,guarani,A,B,A,A
libro_gn,Tínta syry,Chorro de tinta,jehe'a,jopara,guarani,other,A,A,B,A
blogs,Upépe opyta opóvo ta'anga ku'áre ongyryry.,Allí quedó refunfuñando sujeto por la cintura de la figura.,guarani,guarani,guarani,guarani,A,D,C,D
spl,"Áĝa 20 ha 21 jasypokõime oikotahína II Seminario Taller “Investigación Lingũística en Paraguay”, heta tapicha arandu, ñane retã ha tetã ambuepegua, ohesa'ỹijotahápe imba'ekuaapy ñe'ẽ rapereka rehegua.",Los días 20 y 21 de julio se realizará el II Seminario Taller “Investigación Lingũística en Paraguay” donde expertos nacionales e internacionales ofrecerán conferencias sobre distintos aspectos de la lingũística en Paraguay.,guarani,guarani,guarani,guarani,B,B,A,B
hackaton,ojerokyse,querés bailar.,guarani,guarani,guarani,guarani,D,D,A,D
abc,"Ohasa riremínte 20:00 aravoko  viernes, cumi tavaygua oikóvaa ciudad de San Lorenzo loguahë kuehe sede municipal-pe ojerurévo concejales oipytyvõva pedido de intervención comuna omyakãva kolo'o Albino Ferrer, oiméva 12 ary ohóvape.","Poco antes de las 20:00 de este viernes, ciudadanos residentes en la ciudad de San Lorenzo llegaron frente a la sede municipal para exigir a los concejales que apoyen el pedido de intervención de la comuna a cargo del colorado Albino Ferrer, quien se encuentra en el cargo hace 12 años.",jopara,jopara,jopara,jopara,A,A,A,A
libro_gn,"Oñeikotevẽsapyꞌáramo hesekuéra, ojeporúta oñemoñeꞌẽasakuévo  .","Si fuese el caso, se utilizarán estos términos en las traducciones  .",guarani,guarani,guarani,guarani,A,B,A,A
abc,Ko ára Municipalidad de Asunción ohecha omboty temporalmente ha osuspende actividad Terminal de Ómnibus de Asunción (TOA)-pe.,Este viernes la Municipalidad de Asunción resolvió el cierre total de manera temporal y la suspensión de actividades en la Terminal de Ómnibus de Asunción (TOA).,jopara,jopara,jopara,jopara,A,A,A,A
hackaton,Pe jagua opopo,esa perra brincó.,guarani,guarani,guarani,guarani,D,A,A,A
libro_gn,Embosakoꞌi,Preparar,guarani,guarani,guarani,guarani,A,A,A,A
abc,"Querella ojapóva Peralta opresenta Ever Cabrera Heredia –oîva’ekue director Instituto Nacional de Tecnología, Normalización y Metrología (INTN)–, Sandra Barrios ha Andrea Sánchez –mba’apohára INTN–gua oje’e ha’e ijapúha omoîvo hesekuéra sumario administrativo ha posterior desvinculación e inhabilitación omba’apo haguã sector público-pe.","La querella contra Peralta fue presentada por Ever Cabrera Heredia –quien fue director del Instituto Nacional de Tecnología, Normalización y Metrología (INTN)–, Sandra Barrios y Andrea Sánchez –quienes eran funcionarias del INTN– debido a que supuestamente las falsas acusaciones que el exministro pronunció con respecto a ellos les valió la apertura de sumarios administrativos y su posterior desvinculación e inhabilitación para trabajar en el sector público.",jopara,jopara,jopara,jopara,B,D,A,D
hackaton,amaña porã pe kuimba'ére,miré fijamente al hombre.,guarani,guarani,guarani,guarani,A,C,A,A
spl,"Ko atýpe oñehesa’ỹijo ha oñemoneĩ ko leirãicha oñembosako’íva oguerojeraséva aty “Comisión Nacional para el Fortalecimiento, la Promoción y la Revitalización de las Lenguas Indígenas del Paraguay”.","Durante la sesión se pudo analizar y aprobar el anteproyecto de ley que crea esta “Comisión Nacional para el Fortalecimiento, la Promoción y la Revitalización de las Lenguas Indígenas del Paraguay.",guarani,guarani,jehe'a,guarani,A,B,A,A
abc,"Ko'ã procedimiento, omoirûva fiscal Kuruguatýgua, Jorge David Romero, omotenonde sábado propiedad oîva colonia Britez Cue -Planchada Cue, ha'éva distrito Yvy Pytâ, departamento Kanindeju.","El procedimiento, acompañado por el fiscal de Curuguaty Jorge David Romero, se realizó este sábado en una propiedad ubicada en la colonia Brítez Cue -Planchada Cue, localizada en el distrito de Yby Pytã, departamento de Canindeyú.",jopara,jopara,jopara,jopara,A,A,A,A
abc,"Ko grupo, irundyha rupive, oñembyatýva mbohapy jey arapokõindýpe ha oipytyvõva empresa Nutriforma, ojapóva actividad física ha tembiapo social.","Este grupo, desde hace cuatro años, se reúne tres veces por semana en un local municipal y es apoyado por la empresa Nutriforma, para realizar actividades físicas y trabajo social.",jopara,jopara,jopara,jopara,A,D,A,A
anlp,Upe ñembokapu namombyryetéi ógagui ha akyhyje asê haĝua.,El tiroteo fue cerca de mi casa y me da miedo salir.,guarani,guarani,guarani,guarani,A,A,A,A
abc,Ko pedido omboguatáva oñondive ko jueves orekóva carácter urgente.,El pedido de reunión conjunta se realizó este jueves y tiene carácter de urgente.,jopara,jehe'a,jopara,jopara,A,D,A,A
spl,He'i avei tekotevẽha ojekuaave ñane ñe'ẽnguéra reko rehegua ha jahechaporãve ñande reko joparaeta ha umi ñe'ẽ sa'ive ojeporúva.,"La necesidad de mayor información sobre la realidad lingũístico-cultural y las demandas de los diferentes sectores en este sentido, el fortalecimiento de actitudes favorables ante la diversidad y las lenguas minoritarias.",guarani,guarani,guarani,guarani,B,B,A,B
abc,"Costanera II  oime mba'apo kyre'ÿme, ofalta gueteri mokõi viaducto oempalma haguã Primer Presidente rehe, pero ojeasfalta mokõi calle ombojoaju haguã Av. Artigas ha ojapo peteî habilitación parcial osyryry porã haguã árakue oike mboyve cambio de autoridades.","La Costanera II dista de estar terminada, todavía faltan dos viaductos de empalme con Primer Presidente, pero se asfaltaron dos calles para conectarla con la Av. Artigas y hacer una habilitación parcial para circulación diurna antes del cambio de autoridades.",jopara,jehe'a,jopara,jopara,A,A,A,A
spl,"Paraguái Ñe'ẽnguéra Sãmbyhyhára, Ladislaa Alcaraz de Silvero, omoirũ ko ñoha'ã guasu jeguerojera oikóva Juan de Salazar-pe.","La ministra de la Secretaría de Políticas Lingũísticas, Ladislaa Alcaraz de Silvero, acompañó la presentación del concurso realizada en el Juan de Salazar.",guarani,guarani,guarani,guarani,A,A,A,A
spl,Ha’e he’i guarani tuichaiterei mba’eha ñane arandupýpe g̃uarã..,"El jesuita afirmó que el guaraní es como una gota de perfume en medio del agua, haciendo alusión a lo importante del idioma en la cultura guaraní..",guarani,guarani,guarani,guarani,D,D,B,D
seminario,ñe’ẽjoapy,Frases,guarani,guarani,guarani,guarani,A,D,A,A
spl,"PÑS Sãmbyhyhára, Ladislaa Alcaraz de Silvero, he'i tekotevẽha oñemba'apoporã ñe'ẽ rehe tekombo'épe; “no es posible hablar de una calidad en la enseñanza desatendiendo la efectiva atención lingũística”, he'i.","La ministra de la SPL, Ladislaa Acaraz de Silvero, indicó durante su alocución la necesidad de un abordaje lingũístico efectivo en el ámbito de la educación; pues, “no es posible hablar de una calidad en la enseñanza desatendiendo la efectiva atención lingũística”, expresó.",jehe'a,guarani,jopara,other,B,A,A,A
abc,"Upéicha ko’ã tekove tie’ÿ ojepicha hikuái ha oremata osêvo estadio-gui, ha omondo ita pe diario abc color móvil rehe móvil ore diario ABC Color avei ohupyty ovetãme.","Los barrabravas protagonizaron sendos incidentes tras el partido en que su equipo perdió 3 a uno, los cuales se iniciaron a poco de salir del estadio, donde con un bloque de cemento rompieron el vidrio laterar de un móvil del nuestro diario ABC Color.",jopara,jehe'a,jehe'a,jehe'a,B,B,A,B
spl,"Umi tapicha, temimoĩmby ha tembiapo momaranduha pegua oñembojopóitava rerakuéra ápe péina hysýi:.","Las personas, instituciones o programas de medios que serán distinguidos aparecen en el siguiente listado, con la clasificación por categorías:.",guarani,guarani,guarani,guarani,B,B,B,B
seminario,tetã rembiapopy,ámbito público,guarani,guarani,guarani,guarani,A,A,A,A
abc,"Péicha ndoikéi acto de corrupción, ojegasta indispensable ohupytývo hembipota, vulnerando economía  principio ha eficiencia.","Incluso cuando no se incurre en actos de corrupción, se gasta más de lo indispensable para lograr un objetivo, vulnerando los principios de economía y eficiencia.",jopara,jopara,jopara,jopara,A,A,A,A
libro_gn,Ehechauka ko kora añónte,Mostrar solo este marco,guarani,guarani,guarani,guarani,A,B,C,D
abc,"Heta ára ohóvape umi empleado firma Renova-gua oñemanifesta Itaipúpe, ojeikévo Hernandarias gotyo, ndorekóigui pago hembiapokuére.","Durante varios días los empleados de la firma Renova se manifestaron frente al acceso de Itaipú, en Hernandarias, por la falta de pago sus haberes.",jopara,jehe'a,jopara,jopara,A,A,A,A
abc,"Tuicha mba'e chupekuéra oñomongetávo presidente de la República dive ha ikatúva oime lucha ha ikatúva osê porã umi ára oúvape”, omoañete ministro de Defensa.","Es muy importante que el presidente de la República pueda estar con ellos y animarles para que sigan la lucha y se pueda tener éxitos en el futuro”, remarcó el ministro de Defensa.",jopara,jehe'a,jehe'a,jehe'a,A,A,A,A
seminario,"Upéva ári, heta tetãme ojeporu ko América yvýpe .","Además, es una lengua empleada en varios países ubicados en el sur del continente americano .",guarani,guarani,guarani,guarani,B,A,B,B
libro_gn,komputadóra,Ordenador,jehe'a,jehe'a,guarani,jehe'a,A,A,A,A
spl,Aty tembipurupayhu rupive ypykuéra ñe’ẽita rérape,Reunión virtual a favor de lenguas indígenas,guarani,guarani,guarani,guarani,A,A,A,A
libro_td,ta'anga michĩetéva,Imagen miniatura,guarani,guarani,guarani,guarani,A,A,A,A
blogs,"– Peipokua ha peipykua, ha jagueraha japoi chugui ko ka'aguy yvate, hetaite oĩhápe guasu'i, tovy'ami hikuái ohechávo omanoha jaguarete.","– Aten sus manos y pies, y lo llevaremos a dejar a la altura de este bosque, donde hay muchos venaditos, que se alegren ellos al ver que murió el jaguar.",guarani,guarani,guarani,guarani,A,A,A,A
libro_gn,"Oĩmbáma ramo jepe, ñeꞌẽasaharakuéra ikatu gueteri okaguai ha opoko hese, jahechápa oñemoĩporãve ha oñeg̃uahẽ oñeg̃uahẽsehápe  .","No obstante, está abierta a las críticas y sugerencias de los traductores, de manera a optimizar las orientaciones como los productos terminológicos esperados  .",guarani,guarani,guarani,guarani,B,B,A,B
seminario,"Tecnología Lingüística ombohape hína peteĩ sociedad iñe’ẽhetáva ijojaha’ỹva, katu omoambue’ỹre iñepyrũmby guive ohekáva; Sur Global ñe’ẽnguéra ha iñe’ẽharakuéra, oñemboykéta ha opavavépe ho’avaíta ndaikatúire oike ñomongetápe .","La tecnología lingüística está creando una sociedad de conocimiento multilingüe sin precedentes, pero sin cambio de prioridades, los idiomas del Sur Global, y sus hablantes, quedarán excluidos, y todo el mundo pagará las consecuencias por su ausencia en la conversación .",guarani,jehe'a,jehe'a,jehe'a,A,A,A,A
anlp,Upe mitâ omanova'ekue onasemavoi hasykatu.,El niño que murió había nacido con problemas de salud.,jehe'a,jehe'a,jehe'a,jehe'a,A,A,A,A
libro_td,puruhára réra oĩ vai,Nombre de usuario no válido,guarani,guarani,guarani,guarani,A,A,A,A
blogs,"Aimo'ã ndapeju mo'ãvéima ra'e, ha upémarõ apu'ã ha'upa che año ñande ryguasu ka'ẽ.","Creí que no vendríais más, y entonces me levanté a comer todo nuestro pollo asado.",guarani,guarani,guarani,guarani,A,A,A,A
spl,"Avei, oñembohape mba’eichaitépa og̃uahẽta ko kuatia leirã oñembosako’íva Poder Legislativo-pe ohesa’ỹijo hag̃ua ha ohechaporãrõ tomoneĩ.","Asimismo, establecer el mecanismo de entrega o remisión del anteproyecto de ley al Poder Legislativo para su respectivo tratamiento y eventual aprobación.",jehe'a,jehe'a,jopara,jehe'a,A,A,A,A
abc,"“Oike pe nota (oñemê'e chupe documento entrada) péva ágã ojerúre peve oñehesa'ÿijo haguã”, omoañete.","“Se tomó nota (de la entrada del documento) hasta que alguien solicite que se trate”, precisó.",jopara,jehe'a,jehe'a,jehe'a,A,B,A,A
libro_gn,Ko ñeꞌẽjoaju oñembohasa guaraníme péicha: Che Paraguaigua  .,Esta oración se traduce al guaraní: Che Paraguaigua  .,guarani,guarani,guarani,guarani,A,C,A,A
libro_td,ijaty pyahúva mombe'u,Notificación de nuevo miembro,guarani,guarani,guarani,guarani,A,B,A,A
anlp,"Héê, mba'eichagua jaguara'ýpa rereko?","sí, ¿qué tipo de cachorro tienes?",guarani,guarani,guarani,guarani,A,A,A,A
anlp,Roju rire roikohágui rojuhu peteî jaguane ore róga sapy'aguápe.,"Cuando regresamos de un evento, encontramos una mofeta.",guarani,guarani,guarani,guarani,C,A,A,A
libro_gn,Guarani haikatu mbojojahakuéra  .,Reglas ortográficas  .,guarani,guarani,guarani,guarani,A,A,A,A
hackaton,Che róga avei nde róga.,mi casa es tu casa.,guarani,guarani,guarani,guarani,A,A,A,A
blogs,"Peteĩ pyhareve asaje jaguarete oguejy jey, ha pe ykua rapépe oho oñeno, ojepysopaite, ku omanoitéramo guáicha.","Una media mañana el jaguar volvió a bajar, y camino a ese manantial se acostó, se extendió por completo, como si hubiera muerto.",guarani,guarani,guarani,guarani,A,C,A,A
abc,"He’i ha’eha peteî populista ha he’i chupe pe ikuatia parlamentario ipererî, ndojapóigui hembiapo, ha he’i orekóha problema de salud.","Lo trató de populista y dijo que su papel como parlamentario es pobre, porque no hace su trabajo, además de advertirle que podría tener problemas de salud.",jopara,jehe'a,jopara,jopara,A,A,A,A
libro_td,aty ra'angahai ndikatúi opyta nandi,La descripción del grupo no puede quedar vacía,guarani,guarani,guarani,guarani,A,A,A,A
seminario,tendota,ejecutivo,guarani,guarani,guarani,guarani,A,D,A,A
seminario,"Ñe’ẽasa ayvu niko oikotevẽ hetaichagua katupyryrã rehe Ojekuaaporãramo jepe ñe’ẽasahára jehai ha ñemboayvu pegua omba’apoha ñe’ẽ rehe, ára ha ára ombohasava’erãha opaichagua marandu peteĩ ñe’ẽgui ambuévape, omoñe’ẽasa ayvúva niko ikatupyry añeteva’erã heta mba’épe, iñambuéva hína umi omoñe’ẽasa haívagui .","La interpretación es un oficio que requiere varias habilidades Si bien es cierto que tanto traductores como intérpretes trabajan a diario con los idiomas y que su función básica es la de transmitir información por medio de un idioma de destino, el intérprete requiere una serie de habilidades que no necesariamente son las mismas que las del traductor .",guarani,guarani,guarani,guarani,A,A,A,A
blogs,"Verónica (+), Francisco José ha Silvia.","Verónica (+), Francisco José y Silvia.",guarani,guarani,guarani,guarani,A,A,A,A
spl,"Itapúa gobernación mba'apoharakuéra ha ambueve Encarnación pegua, Estado mba'apohárape, oñehekombo'e ko arapoteĩme, guarani jeporu joja castellano ykére, oñeñangarekóvo Estado rérape, Paraguaiguakuérare.","Funcionarios de la gobernación de Itapúa y de varias entidades públicas situadas en la ciudad de Encarnación participaron este viernes en una charla formativa sobre la normalización del guaraní, específicamente el uso oral y escrito de la lengua en las áreas de prestación de servicios públicos a la población local.",jehe'a,jehe'a,jehe'a,jehe'a,B,B,A,B
spl,"Omoirũ avei ambue PÑS pegua mburuvicha, Asesoría Jurídica moakãhára, karai Osvaldo Núñez, ha kuñakarai Celia Godoy, Ñe’ẽ Rape’apo moakãharapavẽ.","Así también, estuvieron presentes otras autoridades de la SPL, tanto el director de Asesoría Jurídica, Osvaldo Núñez, como la directora general de Planificación Lingüística, Celia Godoy.",jehe'a,jehe'a,jopara,jehe'a,A,A,A,A
anlp,Upéicha rupi roiko ko'árupi.,Así que vivimos en esta zona.,guarani,guarani,guarani,guarani,A,A,A,A
libro_gn,"Karaiñeꞌẽme, tembiecharãramo, ñeꞌẽjoaju heꞌihápe Yo soy de Paraguay, ñeꞌẽmboyvegua de oñemopyrenda upe ñeꞌẽ omoambuéva ha haꞌéva Paraguay  .","En castellano, por ejemplo, en la oración Yo soy de Paraguay, la preposición de antecede al modificador indirecto Paraguay  .",guarani,guarani,guarani,guarani,A,A,A,A
spl,Opaite marandu ko Concurso rehegua remoñe'ẽkuaa ko'ápe: www.paraguayconcursa.gov.py.,Todos los datos referentes al Concurso están disponibilizados en el portal: www.paraguayconcursa.gov.py.,jehe'a,jehe'a,guarani,jehe'a,A,A,A,A
anlp,"Chesegura ko'ápe, upévare chegusta.",Me siento bastante seguro aquí y por eso me gusta.,jopara,jehe'a,jopara,jopara,A,A,A,A
libro_td,atykuéra ojehecharamóva,Grupos destacados,guarani,guarani,guarani,guarani,A,D,B,D
hackaton,Ha'e mbarakaja térã jagua.,es un gato o un perro.,guarani,guarani,guarani,guarani,A,A,A,A
abc,"Ramírez otaky confianza ministro de Educación, Eduardo Petta, orekóva capacidad sistema educativo oipyhýva sistema ojeporúva internet rupive, ko’ápe Ministerio de Educación y Ciencias (MEC) omokyre’ÿva plataforma educativa digital.","En ese sentido, Ramírez criticó la aparente confianza del ministro de Educación, Eduardo Petta, en la capacidad del sistema educativo de adaptarse de forma repentina a un sistema de enseñanza remota por internet, algo que el Ministerio de Educación y Ciencias (MEC) está promoviendo con una plataforma educativa digital.",jopara,jopara,jopara,jopara,A,A,A,A
abc,"Ohechaháicha gobernador José Domingo Adorno, ohupyty umi 20 embarcaciones de aluminio amo G. 160 millones rupi oúva peteî rubro ombohasáva gobierno departamental.","Según el gobernador José Domingo Adorno, el monto total de las 20 embarcaciones de aluminio fue de G. 160 millones perteneciente al rubro transferencia del gobierno departamental.",jopara,jopara,jopara,jopara,A,A,A,A
anlp,Iñemoñarekuéra oikovepa.,Todos sus hijos sobrevivieron.,guarani,guarani,guarani,guarani,A,C,A,A
blogs,"Ogueromandu'ávo upe mba'e vaiete ha ohechakuaávo umi ojejukava'ekuépe, Temimbo'e Atyha Colegio Nacional de la Capital-pegua upe guive ojehero “23 de octubre”, ha avei ogueraha upe téra pe pyti'ajegua tuichavéva upe Atyha ome'êvajepi CNC temimbo'ekue poravopyrépe.","En recordación a aquel luctuoso acontecimiento y en homenaje a los caídos, el Centro de Estudiantes del Colegio Nacional de la Capital pasó a denominarse “23 de octubre”, y también lleva ese nombre la máxima condecoración que dicho Centro otorga a los egresados destacados del CNC.",guarani,guarani,guarani,guarani,A,A,A,A
blogs,"Che aisu'úramo hasývape, amonguera ichupe, nde reisu'úramo katu, rejuka katuete...","Si yo muerdo a un enfermo, le curo, pero si tú le muerdes, seguro lo matas...",guarani,guarani,guarani,guarani,A,A,A,A
hackaton,"Jepiveramo, ko mba´e ajejuhu jahecharamo iñambuéva, tembiecharãramo, jaiporuramo peteĩ dispositivo pyahúva terã rejejuhúramo peteĩ tendápe iñambuévape jepiverog̃uagui","Nota: Normalmente, este paso aparece si notamos algo inusual; por ejemplo, si usas un dispositivo nuevo o si te encuentras en una ubicación distinta a la habitua",jehe'a,jehe'a,guarani,jehe'a,A,A,A,A
libro_gn,"Péicha ku ndaipóri jave ñeꞌẽ oñembohasa hag̃ua karaiñeꞌẽ térã ambue ñeꞌẽgui ha ndojeporúiri gueteri rire ñeꞌẽasa ambuépe, oñemoheñóita ñeꞌẽpyahu guarani ñeꞌẽ heꞌihaichaite térã ojeporútante upe ñeꞌẽ ojehaiꞌypyhaguégui  .","En los casos en que no existan vocabularios para traducir términos del castellano o de otras lenguas y que no se han desarrollado aún propuestas en traducciones anteriores, se utilizarán neologismos creados desde dentro de la lengua o directamente se optará por el préstamo de la lengua de partida  .",guarani,guarani,guarani,guarani,A,A,A,A
abc,"Homilía, obispo ojeruréva comunidad ojoajúva Virgen María oimeháme “ñeha’ã oñondivépa pokarê rehe orekóva merienda escolar ÿme upe mitãnguéra tetã pukukue”.","Durante la homilía, el obispo solicitó a la comunidad estar unidos juntos a la Virgen María para “luchar todos juntos contra la corrupción que deja sin merienda escolar a miles de niños de todo el país”.",jopara,jehe'a,jehe'a,jehe'a,A,A,A,A
spl,"“En ese contexto, Paraguay se adhiere a esta conmemoración internacional y la Presidencia de la República encarga a la SPL la responsabilidad de coordinar diversas actividades con las instituciones públicas, con miras a la promoción, revitalización y desarrollo de las 19 lenguas indígenas del Paraguay”, he’i Celia Godoy..","“En ese contexto, Paraguay se adhiere a esta conmemoración internacional y la Presidencia de la República encarga a la SPL la responsabilidad de coordinar diversas actividades con las instituciones públicas, con miras a la promoción, revitalización y desarrollo de las 19 lenguas indígenas del Paraguay”, explicó Celia Godoy..",other,jopara,other,other,D,A,A,A
abc,"Messer, ogueroviáva pieza fundamental káso Lava Jato, escándalo kakuaa pokarê oîva política tetã Brasil rembiasa, omýiva Paraguái guive ha ojohéivo cien millones de dólares, péva marandu fiscalía brasileña.","Messer, considerado como pieza fundamental en el caso Lava Jato, uno de los mayores escándalos de corrupción política en la historia de Brasil, operó tranquilo desde Paraguay para lavar al menos unos cien millones de dólares, de acuerdo a informes de la fiscalía brasileña.",jopara,jopara,jopara,jopara,A,A,A,A
blogs,Opaite umi ANI oguereko peteî pohâ año ha'éva... mborayhu,Todos esos NO tienen un único remedio que es... el amor,guarani,guarani,guarani,guarani,A,D,A,A
blogs,"– Ha che aisu'úva nomanóiramo, nde che'úta.","– Y si a quien yo muerdo no muere, tú me comerás.",guarani,guarani,guarani,guarani,A,A,A,A
libro_td,terañemi javy. Peteĩ mba'e puruhára rehegua noĩmbái,Fallo en el registro. Falta un objeto de usuario,guarani,guarani,guarani,guarani,A,A,A,A
libro_td,ndikatúi nde ejeipe'a ndejupevoi,No puedes eliminarte a ti mismo,guarani,guarani,guarani,guarani,A,C,A,A
seminario,"Ja’eva’erã ha jajavy’ỹre, tetãnguéra Mercosur pegua apytépe Brasil-pe ojejuhuha hetave táva hérava guaraníme .",Cabe mencionar y sin temor a equívocos que —de entre los países miembros del Mercosur— el Brasil es el que más topónimos guaraníes mantuvo en su geografía .,guarani,guarani,guarani,guarani,A,A,A,A
libro_td,mombe'u oĩ vove jerure máva ijatyséva,Notificar solicitud a unirse,guarani,guarani,guarani,guarani,A,D,A,A
abc,Ojeporavóvo omotenonde prioridades oipyhýva tapicha óga rupi ha anitei oñeikytîeterei.,El nuevo designado adelantó que una de las prioridades será la distribución casa por casa y lograr que haya menos cortes.,jehe'a,jehe'a,jehe'a,jehe'a,B,B,B,B
anlp,Nañe'êvéi hendive.,No he vuelto a hablar con él.,guarani,guarani,guarani,guarani,A,A,A,A
seminario,"Ñe’ẽ ñepyrũ (térã evolución, he’iháicha teoría hesegua), kuaapy ñemoambue uperiregua rovake, oikóva’ekue tuichaháicha, ha oikóva’ekue opavave avakuéra rekópe .","La invención (o evolución, según la teoría de su origen) del lenguaje, a diferencia de la revolución del conocimiento posteriores, fue universal, afectando a todos miembros de nuestra especie .",jehe'a,jehe'a,jehe'a,jehe'a,A,A,B,A
libro_gn,Ñembyaty,Compilación,guarani,guarani,guarani,guarani,A,A,A,A
seminario,Avei oĩkuri tapicha omoñe’ẽasáva iñe’ẽngúva ñe’ẽme .,"Así también, se ha contado con servicios de intérpretes de lengua de señas .",guarani,guarani,guarani,guarani,A,B,A,A
anlp,Ndaveveichéne.,Nunca volaría.,guarani,guarani,guarani,guarani,A,C,A,A
libro_td,ejapo click he'ihápe “eipe'a ta'anga” eipe'a hağua ko ta'angamýi.,Por favor haga click en “Eliminar video” para eliminar el video,guarani,guarani,guarani,guarani,A,D,A,A
seminario,mba’ejoja’ỹ,controversia,guarani,guarani,guarani,guarani,A,A,A,A
